"VRSTA TURISTIÈNEGA POTOVANJA","DESTINACIJA","PREVOZNO SREDSTVO","MERITVE","2021","2022"
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Letalo","Potovanja (v 1000)",137,256
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Letalo","Prenoèitve (v 1000)",1363,2178
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Letalo","Povpreèno število prenoèitev",9.9,8.5
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",148.33,125.89
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Drugo","Potovanja (v 1000)",N,26
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Drugo","Prenoèitve (v 1000)",N,237
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Drugo","Povpreèno število prenoèitev",N,9.0
"...daljša zasebna (4 ali veè prenoèitev)","Destinacija - SKUPAJ","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,86.65
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",639,533
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",3982,3064
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",6.2,5.8
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",51.75,48.25
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Osebno cestno motorno vozilo","Potovanja (v 1000)",580,479
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",3653,2741
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",6.3,5.7
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",51.86,48.22
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Avtobus","Potovanja (v 1000)",36,36
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Avtobus","Prenoèitve (v 1000)",207,207
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Avtobus","Povpreèno število prenoèitev",5.7,5.8
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",63.76,59.81
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Vlak","Potovanja (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Vlak","Prenoèitve (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Vlak","Povpreèno število prenoèitev",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Letalo","Potovanja (v 1000)",-,-
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Letalo","Prenoèitve (v 1000)",-,-
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Letalo","Povpreèno število prenoèitev",-,-
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",-,-
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Drugo","Potovanja (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Drugo","Prenoèitve (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Drugo","Povpreèno število prenoèitev",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Slovenija","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",1156,1757
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",10036,14301
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",8.7,8.1
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",67.53,67.76
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Osebno cestno motorno vozilo","Potovanja (v 1000)",954,1363
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",8129,11012
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",8.5,8.1
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",53.68,56.33
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Avtobus","Potovanja (v 1000)",43,95
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Avtobus","Prenoèitve (v 1000)",358,738
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Avtobus","Povpreèno število prenoèitev",8.4,7.8
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",50.70,57.54
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Vlak","Potovanja (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Vlak","Prenoèitve (v 1000)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Vlak","Povpreèno število prenoèitev",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Letalo","Potovanja (v 1000)",137,256
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Letalo","Prenoèitve (v 1000)",1363,2178
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Letalo","Povpreèno število prenoèitev",9.9,8.5
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",148.33,125.89
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Drugo","Potovanja (v 1000)",N,25
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Drugo","Prenoèitve (v 1000)",N,228
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Drugo","Povpreèno število prenoèitev",N,9.0
"...daljša zasebna (4 ali veè prenoèitev)","Tujina","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,89.54
"Poslovna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",413,521
"Poslovna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",1747,2042
"Poslovna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",4.2,3.9
"Poslovna potovanja","Destinacija - SKUPAJ","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",114.72,141.10
"Poslovna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Potovanja (v 1000)",300,331
"Poslovna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",884,947
"Poslovna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",3.0,2.9
"Poslovna potovanja","Destinacija - SKUPAJ","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",118.39,135.96
"Poslovna potovanja","Destinacija - SKUPAJ","Avtobus","Potovanja (v 1000)",29,76
"Poslovna potovanja","Destinacija - SKUPAJ","Avtobus","Prenoèitve (v 1000)",90,257
"Poslovna potovanja","Destinacija - SKUPAJ","Avtobus","Povpreèno število prenoèitev",3.1,3.4
"Poslovna potovanja","Destinacija - SKUPAJ","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",80.50,105.11
"Poslovna potovanja","Destinacija - SKUPAJ","Vlak","Potovanja (v 1000)",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Vlak","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Vlak","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Letalo","Potovanja (v 1000)",52,97
"Poslovna potovanja","Destinacija - SKUPAJ","Letalo","Prenoèitve (v 1000)",659,746
"Poslovna potovanja","Destinacija - SKUPAJ","Letalo","Povpreèno število prenoèitev",12.6,7.7
"Poslovna potovanja","Destinacija - SKUPAJ","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",118.76,167.21
"Poslovna potovanja","Destinacija - SKUPAJ","Drugo","Potovanja (v 1000)",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Drugo","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Drugo","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Destinacija - SKUPAJ","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Poslovna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",204,205
"Poslovna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",440,359
"Poslovna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",2.2,1.8
"Poslovna potovanja","Slovenija","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",104.04,135.31
"Poslovna potovanja","Slovenija","Osebno cestno motorno vozilo","Potovanja (v 1000)",177,160
"Poslovna potovanja","Slovenija","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",368,267
"Poslovna potovanja","Slovenija","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",2.1,1.7
"Poslovna potovanja","Slovenija","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",111.97,151.01
"Poslovna potovanja","Slovenija","Avtobus","Potovanja (v 1000)",N,37
"Poslovna potovanja","Slovenija","Avtobus","Prenoèitve (v 1000)",N,74
"Poslovna potovanja","Slovenija","Avtobus","Povpreèno število prenoèitev",N,2.0
"Poslovna potovanja","Slovenija","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",N,104.46
"Poslovna potovanja","Slovenija","Vlak","Potovanja (v 1000)",N,N
"Poslovna potovanja","Slovenija","Vlak","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Slovenija","Vlak","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Slovenija","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Poslovna potovanja","Slovenija","Letalo","Potovanja (v 1000)",N,-
"Poslovna potovanja","Slovenija","Letalo","Prenoèitve (v 1000)",N,-
"Poslovna potovanja","Slovenija","Letalo","Povpreèno število prenoèitev",N,-
"Poslovna potovanja","Slovenija","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,-
"Poslovna potovanja","Slovenija","Drugo","Potovanja (v 1000)",N,N
"Poslovna potovanja","Slovenija","Drugo","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Slovenija","Drugo","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Slovenija","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Poslovna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Potovanja (v 1000)",209,316
"Poslovna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Prenoèitve (v 1000)",1307,1682
"Poslovna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèno število prenoèitev",6.2,5.3
"Poslovna potovanja","Tujina","Prevozno sredstvo - SKUPAJ","Povpreèni izdatki na turista na prenoèitev (EUR)",118.32,142.34
"Poslovna potovanja","Tujina","Osebno cestno motorno vozilo","Potovanja (v 1000)",123,171
"Poslovna potovanja","Tujina","Osebno cestno motorno vozilo","Prenoèitve (v 1000)",516,680
"Poslovna potovanja","Tujina","Osebno cestno motorno vozilo","Povpreèno število prenoèitev",4.2,4.0
"Poslovna potovanja","Tujina","Osebno cestno motorno vozilo","Povpreèni izdatki na turista na prenoèitev (EUR)",122.96,130.05
"Poslovna potovanja","Tujina","Avtobus","Potovanja (v 1000)",N,38
"Poslovna potovanja","Tujina","Avtobus","Prenoèitve (v 1000)",N,182
"Poslovna potovanja","Tujina","Avtobus","Povpreèno število prenoèitev",N,4.8
"Poslovna potovanja","Tujina","Avtobus","Povpreèni izdatki na turista na prenoèitev (EUR)",N,105.37
"Poslovna potovanja","Tujina","Vlak","Potovanja (v 1000)",N,N
"Poslovna potovanja","Tujina","Vlak","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Tujina","Vlak","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Tujina","Vlak","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
"Poslovna potovanja","Tujina","Letalo","Potovanja (v 1000)",52,97
"Poslovna potovanja","Tujina","Letalo","Prenoèitve (v 1000)",657,746
"Poslovna potovanja","Tujina","Letalo","Povpreèno število prenoèitev",12.6,7.7
"Poslovna potovanja","Tujina","Letalo","Povpreèni izdatki na turista na prenoèitev (EUR)",118.66,167.21
"Poslovna potovanja","Tujina","Drugo","Potovanja (v 1000)",N,N
"Poslovna potovanja","Tujina","Drugo","Prenoèitve (v 1000)",N,N
"Poslovna potovanja","Tujina","Drugo","Povpreèno število prenoèitev",N,N
"Poslovna potovanja","Tujina","Drugo","Povpreèni izdatki na turista na prenoèitev (EUR)",N,N
