bos	46	25
nyy	35	34
tor	34	36
tb	31	39
bal	30	41
cle	42	29
det	42	29
min	36	34
cws	29	39
kc	29	44
ana	46	27
oak	39	32
sea	36	32
tex	27	44
nym	38	32
atl	38	35
phi	37	35
fla	35	38
was	30	42
mil	41	31
stl	32	37
chc	32	38
pit	31	40
hou	31	41
cin	28	45
sd	41	29
ari	42	31
la	40	31
col	37	34
sf	30	41
